cand_id,lng,lat
0,114.353270,30.370330
1,114.362740,30.503653
2,114.419300,30.474210
3,114.244003,30.451280
4,114.547390,30.485153
5,114.170257,30.654695
6,114.315700,30.528711
7,114.258064,30.526054
8,114.279969,30.494286
9,114.309530,30.410571
10,114.175740,30.681980
11,114.154298,30.623777
12,114.389590,30.633909
13,114.462150,30.478508
14,114.199880,30.600845
15,114.340981,30.493442
16,114.519806,30.544392
17,114.315578,30.528423
18,114.178377,30.579287
19,114.327490,30.368174
20,114.399045,30.451330
21,114.282250,30.566765
22,114.247890,30.538288
23,114.395573,30.459514
24,114.068100,30.307774
25,114.313173,30.368479
26,114.431388,30.432488
27,114.308112,30.629659
28,114.423253,30.485606
29,114.137981,30.639368
30,114.254533,30.579685
31,114.463930,30.460468
32,114.016070,30.450600
33,114.224915,30.584911
34,114.415000,30.523706
35,114.202161,30.674436
36,114.170138,30.497625
37,114.278970,30.578981
38,114.540738,30.486878
39,114.331280,30.587173
40,114.328970,30.519045
41,114.192390,30.546366
42,114.286600,30.704723
43,114.294476,30.485147
44,114.292438,30.489035
45,114.203733,30.557733
46,114.332727,30.534401
47,114.391242,30.498038
48,114.393110,30.459440
49,114.259451,30.702781
50,114.244647,30.376038
51,114.142707,30.644108
52,114.307724,30.460909
53,114.207063,30.555454
54,114.324256,30.392487
55,114.319960,30.542183
56,114.334700,30.520674
57,114.375082,30.413139
58,114.243740,30.648340
59,114.366636,30.888679
60,114.167184,30.506570
61,114.411650,30.523891
62,114.144164,30.623872
63,114.312976,30.475367
64,114.340415,30.523663
65,114.242380,30.575836
66,114.271830,30.712725
67,114.309010,30.439213
68,114.206839,30.637532
69,114.315475,30.701461
70,114.401510,30.480640
71,114.278030,30.545763
72,114.279810,30.711540
73,114.192200,30.606115
74,114.139917,30.658511
75,114.608840,30.499844
76,114.296465,30.486833
77,114.217759,30.725607
78,114.412415,30.706162
79,114.318240,30.406675
80,114.425530,30.704538
81,114.492260,30.485060
82,114.248324,30.734304
83,114.294937,30.654561
84,114.163811,30.657560
85,114.371790,30.861624
86,114.287600,30.789846
87,114.262215,30.537016
88,114.241250,30.621769
89,114.205740,30.509108
90,114.343460,30.386564
91,114.330500,30.665692
92,114.432282,30.588536
93,114.414380,30.702204
94,114.445951,30.442342
95,114.265640,30.675634
96,114.341981,30.487081
97,114.265090,30.708588
98,114.227090,30.721370
99,114.382653,30.628328
100,114.051393,30.625487
101,114.278725,30.614435
102,114.342606,30.519157
103,114.146645,30.610380
104,114.225875,30.656775
105,114.311900,30.567072
106,114.587197,30.647187
107,114.254595,30.620235
108,114.275719,30.479311
109,114.134537,30.617652
110,114.317219,30.397476
111,114.421705,30.477149
112,114.429250,30.389132
113,114.265396,30.559841
114,114.440150,30.461681
115,114.258527,30.467644
116,114.365425,30.460058
117,114.352050,30.583164
118,114.322845,30.714387
119,114.217119,30.516437
120,114.194619,30.568246
121,114.321080,30.697447
122,114.350400,30.369432
123,114.177099,30.631529
124,114.428750,30.644974
125,114.522100,30.522703
126,114.366553,30.403582
127,114.325042,30.364165
128,114.407375,30.495895
129,114.423210,30.480310
130,114.286750,30.604555
131,114.271780,30.712750
132,114.382537,30.495330
133,114.260111,30.376647
134,114.115036,30.619524
135,114.447360,30.460384
136,114.160446,30.495040
137,114.427815,30.607526
138,114.361911,30.575393
139,114.184360,30.576616
140,114.142707,30.644108
141,114.323420,30.493130
142,114.234080,30.527102
143,114.129150,30.613743
144,114.421926,30.609274
145,114.115598,30.550420
146,114.413375,30.505725
147,114.360680,30.416159
148,114.314026,30.517559
149,114.358380,30.379019
150,114.202661,30.573345
151,114.070650,30.421215
152,114.412218,30.495435
153,114.229997,30.589056
154,114.430287,30.459684
155,114.300844,30.515537
156,114.333670,30.488277
157,114.341981,30.487081
158,114.088470,30.326986
159,114.194977,30.609658
160,114.255805,30.712597
161,114.286860,30.623499
162,114.459399,30.452719
163,114.198600,30.569105
164,114.477087,30.446701
165,114.306882,30.504533
166,114.310544,30.563074
167,114.279602,30.788955
168,114.525884,30.489534
169,114.147551,30.650874
170,114.279325,30.492394
171,114.394629,30.465789
172,114.023854,30.450201
173,114.368940,30.591435
174,114.218240,30.533276
175,114.797710,30.826681
176,114.344444,30.357307
177,114.448177,30.416227
178,114.293770,30.475483
179,114.327774,30.485577
180,114.201845,30.572976
181,114.342110,30.610530
182,114.310472,30.405100
183,114.331065,30.490220
184,114.478350,30.462746
185,114.513910,30.490627
186,114.350110,30.555882
187,114.395190,30.464730
188,114.552194,30.455918
189,114.283070,30.605394
190,114.250567,30.643626
191,114.476063,30.486154
192,114.144337,30.622453
193,114.176247,30.608265
194,114.369619,30.518097
195,114.313173,30.368479
196,114.372519,30.398127
197,114.283226,30.638977
198,114.205770,30.639618
199,114.081293,30.329649
200,114.307594,30.404556
201,114.212150,30.597984
202,114.331570,30.354727
203,114.275627,30.598494
204,114.182426,30.509793
205,114.170279,30.618354
206,114.177740,30.638754
207,114.321570,30.347447
208,114.209940,30.515860
209,114.243540,30.531105
210,114.449300,30.475932
211,114.345757,30.598183
212,114.330402,30.661539
213,114.206732,30.576363
214,114.221050,30.598185
215,114.318855,30.385885
216,114.428159,30.417875
217,114.261190,30.412804
218,114.348866,30.556469
219,114.237126,30.724847
220,114.096030,30.565662
221,114.427216,30.607452
222,114.424893,30.650221
223,114.226485,30.562724
224,114.027043,30.568943
225,114.400014,30.454979
226,114.440985,30.498256
227,114.154298,30.623777
228,114.242836,30.629774
229,114.197431,30.540445
230,114.135679,30.650959
231,114.222208,30.593422
232,114.316140,30.698414
233,114.390462,30.518834
234,114.496779,30.485539
235,114.229590,30.520974
236,114.194742,30.511917
237,114.398670,30.444452
238,114.442310,30.488132
239,114.357390,30.620832
240,114.328110,30.368246
241,114.095290,30.610716
242,114.335861,30.487680
243,114.327920,30.522836
244,114.442442,30.438606
245,114.222250,30.593730
246,114.407875,30.527560
247,114.276709,30.623946
248,114.452040,30.451001
249,114.038315,30.640858
250,114.196686,30.533820
251,114.045456,30.445196
252,114.413304,30.623751
253,114.256070,30.729593
254,114.247743,30.734753
255,114.325670,30.635855
256,114.337098,30.360271
257,114.259857,30.476562
258,114.087489,30.342684
259,114.405850,30.640945
260,114.349494,30.564865
261,114.422106,30.499771
262,114.308738,30.555363
263,114.314406,30.348929
264,114.249174,30.466325
265,114.554090,30.692470
266,114.173920,30.566996
267,114.268230,30.533531
268,114.509865,30.554682
269,114.176418,30.566002
270,114.115626,30.550385
271,114.266433,30.615886
272,114.127760,30.617487
273,114.120303,30.608269
274,114.300690,30.518032
275,114.266396,30.484247
276,114.442174,30.435641
277,114.167936,30.494134
278,114.272840,30.549982
279,114.430618,30.390580
280,114.142574,30.694665
281,114.274520,30.708912
282,114.102500,30.449703
283,114.274956,30.777727
284,114.282981,30.565136
285,114.147708,30.673180
286,114.181514,30.510543
287,114.142178,30.606664
288,114.220230,30.729279
289,114.412284,30.492266
290,114.565310,30.655577
291,114.193290,30.566666
292,114.132750,30.462763
293,114.181481,30.519387
294,114.472570,30.459492
295,114.316180,30.488014
296,114.284722,30.584862
297,114.058523,30.431818
298,114.383316,30.598330
299,114.221638,30.730172
300,114.348170,30.601297
301,114.313654,30.465478
302,114.216320,30.561659
303,114.294586,30.404722
304,114.223810,30.727873
305,114.258940,30.367556
306,114.455661,30.431914
307,114.108217,30.605273
308,114.183390,30.491655
309,114.425823,30.472405
310,114.095319,30.467638
311,114.312290,30.497124
312,114.298880,30.501408
313,114.332860,30.357931
314,114.402804,30.462748
315,114.267297,30.709172
316,114.194786,30.508383
317,114.281360,30.490137
318,114.245814,30.522274
319,114.235651,30.649728
320,114.290097,30.404215
321,114.249460,30.526987
322,114.169240,30.665289
323,114.291885,30.643373
324,114.321530,30.346970
325,114.221439,30.552002
326,114.212150,30.597984
327,114.278114,30.401320
328,114.401665,30.885904
329,114.336552,30.560027
330,114.422050,30.500150
331,114.233610,30.437683
332,114.139776,30.642717
333,114.196650,30.621700
334,114.415949,30.401036
335,114.454727,30.418236
336,114.367200,30.878979
337,114.325271,30.491324
338,114.234040,30.527063
339,114.290777,30.406047
340,114.203298,30.632100
341,114.114983,30.634870
342,114.221790,30.591055
343,114.163666,30.414051
344,114.412285,30.634995
345,114.412285,30.634995
346,114.221620,30.669989
347,114.207063,30.555454
348,114.455447,30.431855
349,114.183390,30.491655
350,114.201004,30.623440
351,114.145005,30.477312
352,114.279990,30.599878
353,114.153770,30.576270
354,114.260540,30.630482
355,114.081215,30.477442
356,114.237920,30.512175
357,114.447266,30.499716
358,114.287173,30.789951
359,114.269724,30.594095
360,114.270530,30.627200
361,114.272034,30.712182
362,114.087210,30.310217
363,114.131986,30.476639
364,114.204405,30.493749
365,114.530670,30.499067
366,114.046555,30.330471
367,114.355103,30.370261
368,114.264220,30.490694
369,114.281680,30.565819
370,114.087367,30.327955
371,114.262157,30.639434
372,114.475930,30.493174
373,114.282502,30.631841
374,114.293603,30.497057
375,114.127471,30.638104
376,114.806284,30.828541
377,114.261146,30.727640
378,114.571806,30.718882
379,114.165744,30.568196
380,114.268992,30.567589
381,114.194630,30.642673
382,114.300780,30.376450
383,114.318770,30.760418
384,114.412285,30.634995
385,114.194060,30.598452
386,114.314456,30.408696
387,114.259247,30.720809
388,114.337907,30.504983
389,114.056145,30.311502
390,114.477003,30.459515
391,114.286672,30.705018
392,114.315068,30.533766
393,114.029175,30.655779
394,114.413925,30.435396
395,114.378654,30.349163
396,114.120370,30.466570
397,114.448627,31.073952
398,114.050140,30.322634
399,114.314456,30.408696
400,114.255847,30.352075
401,114.452610,30.499676
402,114.297640,30.786354
403,114.163588,30.507731
404,114.185984,30.566272
405,114.283760,30.647346
406,114.262470,30.487920
407,114.302790,30.427694
408,114.253360,30.603320
409,114.417174,30.348042
410,114.171540,30.631788
411,114.341150,30.590095
412,113.875260,30.246218
413,114.321810,30.582210
414,114.293830,30.701670
415,114.143890,30.464151
416,114.103657,30.606566
417,114.314300,30.531040
418,114.265190,30.487282
419,114.144140,30.405897
420,114.094550,30.559998
421,114.350400,30.369432
422,114.164150,30.588090
423,114.286672,30.705018
424,114.233440,30.561182
425,114.320640,30.389496
426,114.372519,30.398127
427,114.388920,30.341312
428,114.296655,30.597671
429,114.128330,30.608513
430,114.330170,30.554655
431,114.353093,30.598602
432,114.156450,30.401272
433,114.384670,30.331587
434,114.796640,30.815395
435,114.263060,30.611176
436,114.287831,30.705863
437,114.238801,30.879016
438,114.160390,30.644684
439,114.249800,30.619760
440,114.367775,30.521505
441,114.381290,30.634115
442,114.302340,30.698391
443,114.797710,30.826681
444,114.160090,30.492552
445,114.419250,30.474230
446,114.384670,30.331587
447,114.353270,30.370330
448,114.259370,30.330097
449,114.124150,30.296642
450,114.143890,30.464151
451,114.325690,30.261328
452,114.390205,30.331285
453,114.244150,30.721876
454,114.287173,30.789951
455,114.057556,30.320704
456,114.285900,30.709750
457,114.254456,30.708628
458,114.300780,30.395433
459,114.286672,30.705018
460,114.150982,30.635919
461,114.154060,30.625180
462,114.284120,30.707506
463,114.079720,30.347430
464,114.293510,30.626932
465,114.309010,30.439213
466,114.333790,30.555054
467,114.248520,30.734167
468,114.149870,30.625355
469,114.136435,30.616630
470,114.278470,30.716654
471,114.260769,30.720024
472,114.335560,30.347239
473,115.039560,30.907606
474,114.242300,30.651600
475,114.159740,30.202316
476,114.263170,30.644096
477,114.056480,30.311563
478,114.452380,30.414219
479,114.301765,30.700205
480,114.429250,30.389132
481,114.139917,30.658511
482,114.428159,30.417875
483,114.286640,30.706556
484,114.199210,30.537190
485,114.980225,30.939830
486,114.303000,30.689766
487,114.493600,30.479590
488,114.171575,30.618325
489,114.203794,30.557870
490,114.178377,30.579287
491,114.114983,30.634870
492,114.087575,30.327875
493,114.465280,30.472553
494,114.296104,30.701260
495,114.328970,30.519045
496,114.076475,30.453448
497,114.260640,30.427114
498,115.076965,30.883120
499,114.127525,30.598995
500,114.211626,30.546631
501,114.312290,30.497124
502,114.378360,30.600033
503,114.201680,30.619179
504,114.447360,30.460384
505,114.194742,30.511917
506,114.491803,30.484376
507,114.056150,30.624216
508,114.424243,30.486960
509,114.445199,30.500249
510,114.270237,30.604672
511,114.492076,30.482761
512,114.435265,30.435644
513,114.373004,30.885118
514,114.265530,30.458124
515,114.199920,30.594126
516,114.553740,30.704090
517,114.195566,30.506758
518,114.240952,30.549249
519,114.301366,30.640282
520,114.240952,30.549249
521,114.124780,30.612080
522,114.300780,30.376450
523,114.158852,30.639498
524,114.459399,30.452719
525,114.363076,30.408844
526,114.159973,30.587435
527,114.055985,30.435452
528,114.137582,30.480430
529,114.348170,30.601297
530,114.164658,30.590233
531,114.318726,30.374372
532,114.429250,30.389132
533,114.427815,30.607526
534,114.418008,30.475428
535,114.254595,30.620235
536,114.372526,30.411328
537,114.324256,30.392487
538,114.270237,30.604672
539,114.294247,30.590488
540,114.422415,30.396220
541,114.207063,30.555454
542,114.300753,30.550990
543,114.304491,30.623875
544,114.315700,30.528711
545,114.147831,30.465862
546,114.207717,30.557585
547,114.196534,30.671386
548,114.177099,30.631529
549,114.293746,30.389669
550,114.221638,30.730172
551,114.357130,30.598728
552,114.400235,30.481229
553,114.119276,30.621501
554,114.427845,30.607496
555,114.229590,30.520974
556,114.428159,30.417875
557,114.127471,30.638104
558,114.440985,30.498256
559,114.318726,30.374372
560,114.364760,30.609127
561,114.405850,30.640945
562,114.497260,30.602688
563,114.221638,30.730172
564,114.270237,30.604672
565,114.470880,30.629858
566,114.145005,30.477312
567,114.343291,30.371554
568,114.467450,30.659353
569,114.315260,30.509668
570,114.417020,30.468330
571,114.096250,30.458082
572,114.263399,30.448341
573,114.405850,30.640945
574,114.308738,30.555363
575,114.513788,30.709578
576,114.301700,30.689184
577,114.553740,30.704090
578,114.148870,30.486326
579,114.221638,30.730172
580,114.357390,30.620832
581,114.249800,30.619760
582,114.212650,30.528667
583,114.449500,30.416298
584,114.212650,30.528667
585,114.228713,30.545374
586,114.293770,30.475483
587,114.223670,30.605877
588,114.323201,30.472480
589,114.257210,30.536304
590,114.306882,30.504533
591,114.204405,30.493749
592,114.346947,30.575035
593,114.143890,30.464151
594,114.413939,30.625955
595,114.389149,30.637752
596,114.318855,30.385885
597,114.228713,30.545374
598,114.503910,30.118042
599,114.330332,30.706805
600,114.402306,30.613333
601,114.254595,30.620235
602,114.343291,30.371554
603,114.026550,30.571966
604,114.026550,30.571966
